Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   68    0 0xffffff8005b12000 0xb000     0xb000     org.acidanthera.driver.CPUFriend (1.2.9) B8306708-5840-38DF-8CCD-7161BD868580 <57 17 9 7 6 3 2 1>
   69    0 0xffffff8005b1d000 0xd000     0xd000     org.acidanthera.NVMeFix (1.1.1) E895B780-3DFA-3686-A059-E52C20586133 <57 9 7 6 3 2 1>
   70    1 0xffffff8005b2a000 0x13000    0x13000    com.alexandred.VoodooI2CServices (1) 899B8BEC-AE7C-316E-A1DE-60AEA3A03EA1 <6 3>
   71    0 0xffffff8004024000 0xc000     0xc000     as.vit9696.SMCProcessor (1.3.4) 8687D1B6-7AC6-33AD-9498-9819AF72B95D <61 57 17 9 7 6 3 2 1>
   72    0 0xffffff80013a4000 0x7ff4     0x7ff4     com.apple.nke.applicationfirewall (405) 6751580F-252D-37EB-AFC1-7DA314693483 <9 8 7 6 3 1>
   73    0 0xffffff8001c2c000 0xefff     0xefff     com.apple.AppleSystemPolicy (2.0.0) 40E0E037-3A38-3F86-B1B6-5DB3E03D4F1B <47 46 27 9 8 7 6 3 2 1>
   74    0 0xffffff800146a000 0x2000     0x2000     com.apple.driver.AppleAPIC (1.7) 58DAF093-4F07-3976-9D9A-AFDD41C78F16 <18 6 3>
   75    0 0xffffff8001b85000 0x2ffe     0x2ffe     com.apple.driver.AppleSMBIOS (2.1) 5FFA24B7-4497-350C-A801-DD6F2E809F22 <9 6 3>
   76    0 0xffffff8001920000 0x1ff4     0x1ff4     com.apple.driver.AppleHPET (1.8) 6D9A23ED-DD30-3B8E-BF51-B085D5A6BA77 <17 9 7 6 3>
   77   16 0xffffff8002437000 0x64000    0x64000    com.apple.iokit.IOHIDFamily (2.0.0) C16DFEB2-0E5A-3230-BCE8-72B2D8555F2F <49 9 8 7 6 3 2 1>
   78    0 0xffffff800143b000 0x6000     0x6000     com.apple.driver.AppleACPIEC (6.1) B0908179-624E-35AB-9D6E-4ED0A5A4A6FA <77 62 49 20 17 9 8 7 6 3 1>
   79    0 0xffffff8001434000 0x2ffa     0x2ffa     com.apple.driver.AppleACPIButtons (6.1) 97F5CA41-0514-3867-8BDA-A673962C7B65 <77 49 20 17 9 8 7 6 3 1>
   80    1 0xffffff80018b0000 0x2000     0x2000     com.apple.driver.AppleEFIRuntime (2.1) 4F1B7509-6D5A-31FC-ACEA-3611ED888BC2 <23 9 8 7 6 3>
   81    1 0xffffff8005b3d000 0x58000    0x58000    org.coolstar.VoodooGPIO (1.1) 044B6FB4-E2E2-316B-8F73-4931403F97FD <17 7 6 3>
   82    0 0xffffff8001b46000 0x5ff4     0x5ff4     com.apple.driver.AppleRTC (2.0.1) 7B04C6DA-073F-33A4-B9D4-A007AF78F24F <17 9 7 6 3 1>
   83    1 0xffffff8005c16000 0x19000    0x19000    as.acidanthera.voodoo.driver.PS2Controller (2.3.5) 02592080-2E51-379D-9B2A-48D5E177D5AA <17 9 7 6 3 1>
   84    0 0xffffff8005c2f000 0xd000     0xd000     as.acidanthera.voodoo.driver.PS2Keyboard (2.3.5) FF01D845-27E1-37F5-A2CB-0CE642686482 <83 77 9 7 6 3 1>
   85    2 0xffffff80018b4000 0xb000     0xb000     com.apple.driver.AppleEFINVRAM (2.1) 94B0A0E7-BA52-30BC-B65B-30282BF844E4 <80 9 8 7 6 3 1>
   86    0 0xffffff8002d3c000 0x1000     0x1000     com.apple.private.KextAudit (1.0) C0E43F43-6A9A-3D82-9AC6-74F54777FE03 <19 9 8 7 6 3>
   87    0 0xffffff8002a78000 0x63ff5    0x63ff5    com.apple.iokit.IOUSBFamily (900.4.2) C8503041-7286-3523-A8F8-C4383F24DA56 <38 36 18 9 7 6 3 1>
   88    0 0xffffff8002c02000 0x2ff5     0x2ff5     com.apple.driver.usb.AppleUSBHostPacketFilter (1.0) 6FA6A6F8-D00D-399E-8570-69195AFBE962 <38 36 9 8 7 6 3 1>
   89    0 0xffffff8001bbc000 0x1cff4    0x1cff4    com.apple.driver.AppleSmartBatteryManager (161.0.0) 2BEFD74C-1EB9-32F5-90EE-AAC25294161D <62 19 17 8 7 6 3 1>
   90    0 0xffffff80018e4000 0x2000     0x2000     com.apple.AppleFSCompression.AppleFSCompressionTypeDataless (1.0.0d1) CB722776-435D-3FFD-98FA-01795C9E975F <9 8 6 3 2 1>
   91    0 0xffffff80018e8000 0x11fc1    0x11fc1    com.apple.AppleFSCompression.AppleFSCompressionTypeZlib (1.0.0) 8E3AFDDD-1B43-384D-A5E5-7927D38572A6 <8 6 3 2 1>
   92    0 0xffffff8001c23000 0x4ff9     0x4ff9     com.apple.driver.AppleSyntheticGameController (11.6.3) 5E3BAE40-78F9-348B-8944-3F8F027D0F06 <77 8 6 3>
   93    0 0xffffff8001e70000 0xcff4     0xcff4     com.apple.BootCache (40) BF7B4900-3457-3E4A-A9C6-00264707BEE7 <9 8 7 6 3 1>
   94    1 0xffffff8002078000 0x1ff9     0x1ff9     com.apple.filesystems.hfs.encodings.kext (1) 27044A3E-084F-3136-A887-016EEA6ACBED <9 8 7 6 3 1>
   95    0 0xffffff8002014000 0x5dff5    0x5dff5    com.apple.filesystems.hfs.kext (650.140.2) DE855082-2243-3F6D-83ED-B1D5500AFE9C <94 9 8 7 6 3 1>
   96    0 0xffffff80028cf000 0x26ff4    0x26ff4    com.apple.iokit.IOSurface (352.50.1) 7CADA50D-8D9C-3062-995C-7A44CB17D810 <9 8 7 6 3 1>
   97    1 0xffffff8002df6000 0x1b4ff0   0x1b4ff0   com.apple.filesystems.apfs (2236.141.1) 4EC0F0EA-5530-3FDB-9126-C7C6AE7C1318 <85 31 29 26 23 10 9 8 7 6 3 2 1>
   98    0 0xffffff800307b000 0x1dffc    0x1dffc    com.apple.filesystems.lifs (1) A8BD2AD3-A294-3250-9A7B-992BB0E43389 <9 8 7 6 3 1>
   99    0 0xffffff8001773000 0x1000     0x1000     com.apple.driver.AppleBSDKextStarter (3) 2125999B-50BA-3CDD-878C-E14F3DB05ABE <6 3>
  100    0 0xffffff80030a6000 0xb000     0xb000     com.apple.filesystems.tmpfs (1) 87526A4F-CA23-3350-A218-34D34359F401 <9 8 7 6 3 1>
  101    0 0xffffff80018fe000 0x2000     0x2000     com.apple.driver.AppleFileSystemDriver (3.0.1) 4FA5BCFD-7F1F-348B-B05D-B75AC481E953 <29 6 3>
  102    1 0xffffff8002c4f000 0x3fffc    0x3fffc    com.apple.driver.usb.AppleUSBXHCI (1.2) CF8ED408-B46D-3282-844B-E8960C94246B <38 36 17 9 8 7 6 3 1>
  103    0 0xffffff8002c9a000 0x24ff5    0x24ff5    com.apple.driver.usb.AppleUSBXHCIPCI (1.2) 9D9A609E-AA15-378D-9115-87C1E9D0722E <102 38 36 18 17 9 8 7 6 3 1>
  104    1 0xffffff8005bb0000 0x2b000    0x2b000    com.alexandred.VoodooI2C (2.8) 0EA9CDAA-B182-30B8-8ED7-2C4C3D7A2F20 <81 77 70 18 17 7 6 3 1>
  105    0 0xffffff8001985000 0x7000     0x7000     com.apple.driver.AppleIntelLpssGspi (3.0.60) BF6BAA8F-DA09-3045-968C-5FD237121BFD <18 17 9 7 6 3>
  106    0 0xffffff8004030000 0x23000    0x23000    ru.joedm.SMCSuperIO (1.3.4) E444EBB4-FC83-37FC-BB11-8759B2465D3A <61 57 17 9 7 6 3 2 1>
  107    0 0xffffff80024d6000 0x2b000    0x2b000    com.apple.iokit.IONVMeFamily (2.1.0) 5419BCB2-D4CD-307D-BE87-78F078DE1058 <49 29 27 18 9 8 7 6 3 1>
  108    0 0xffffff8003f58000 0xa0000    0xa0000    science.firewolf.rtsx (0.9.7) 803F199A-AF66-3699-8877-A364AEA81433 <38 29 18 6 3>
  109    2 0xffffff8002fbf000 0x22ff5    0x22ff5    com.apple.driver.corecapture (1.0.4) 5F8DB873-C992-3063-8589-2BC8EF56F96E <9 8 7 6 3 1>
  110    1 0xffffff800207c000 0x246ff9   0x246ff9   com.apple.iokit.IO80211Family (1200.13.0) E2D4CE96-C4EB-3B58-BD53-84D151BBC955 <109 55 53 27 23 10 9 8 7 6 3 1>
